iter	Passed	Remaining
777	3691	1053
778	3694	1048
779	3696	1042
780	3702	1038
781	3705	1033
782	3708	1027
783	3711	1022
784	3714	1017
785	3719	1012
786	3722	1007
787	3725	1002
788	3727	996
789	3733	992
790	3737	987
791	3739	982
792	3742	977
793	3745	971
794	3752	967
795	3755	962
796	3758	957
797	3764	952
798	3769	948
799	3771	942
800	3774	937
801	3776	932
802	3781	927
803	3785	922
804	3788	917
805	3791	912
806	3797	908
807	3801	903
808	3803	898
809	3806	892
810	3811	888
811	3815	883
812	3817	878
813	3820	873
814	3822	867
815	3828	863
816	3833	858
817	3837	853
818	3841	848
819	3845	844
820	3849	839
821	3853	834
822	3857	829
823	3862	824
824	3865	819
825	3868	814
826	3873	810
827	3878	805
828	3881	800
829	3884	795
830	3890	791
831	3895	786
832	3897	781
833	3899	776
834	3903	771
835	3907	766
836	3911	761
837	3914	756
838	3920	752
839	3925	747
840	3928	742
841	3930	737
842	3932	732
843	3939	728
844	3941	723
845	3945	718
846	3947	713
847	3951	708
848	3956	703
849	3958	698
850	3961	693
851	3963	688
852	3969	684
853	3973	679
854	3975	674
855	3978	669
856	3982	664
857	3987	659
858	3990	654
859	3993	650
860	3994	644
861	4000	640
862	4004	635
863	4006	630
864	4009	625
865	4014	621
866	4019	616
867	4023	611
868	4025	606
869	4030	602
870	4035	597
871	4040	593
872	4046	588
873	4051	584
874	4053	579
875	4057	574
876	4063	569
877	4068	565
878	4074	560
879	4079	556
880	4083	551
881	4086	546
882	4092	542
883	4098	537
884	4102	533
885	4105	528
886	4111	523
887	4115	519
888	4118	514
889	4122	509
890	4128	505
891	4131	500
892	4135	495
893	4142	491
894	4146	486
895	4150	481
896	4153	476
897	4161	472
898	4166	468
899	4168	463
900	4175	458
901	4179	454
902	4183	449
903	4188	444
904	4191	439
905	4195	435
906	4201	430
907	4207	426
908	4211	421
909	4216	417
910	4221	412
911	4224	407
912	4227	402
913	4235	398
914	4240	393
915	4246	389
916	4252	384
917	4257	380
918	4261	375
919	4268	371
920	4270	366
921	4275	361
922	4280	357
923	4285	352
924	4287	347
925	4291	342
926	4295	338
927	4301	333
928	4305	329
929	4308	324
930	4314	319
931	4317	314
932	4320	310
933	4324	305
934	4331	301
935	4333	296
936	4338	291
937	4344	287
938	4348	282
939	4351	277
940	4357	273
941	4362	268
942	4367	264
943	4376	259
944	4383	255
945	4389	250
946	4397	246
947	4399	241
948	4405	236
949	4413	232
950	4415	227
951	4420	222
952	4426	218
953	4429	213
954	4433	208
955	4438	204
956	4446	199
957	4448	195
958	4451	190
959	4457	185
960	4461	181
961	4463	176
962	4465	171
963	4471	166
964	4476	162
965	4480	157
966	4482	152
967	4489	148
968	4492	143
969	4496	139
970	4500	134
971	4505	129
972	4508	125
973	4511	120
974	4514	115
975	4519	111
976	4521	106
977	4524	101
978	4527	97
979	4531	92
980	4538	87
981	4541	83
982	4545	78
983	4551	74
984	4553	69
985	4558	64
986	4564	60
987	4567	55
988	4572	50
989	4577	46
990	4583	41
991	4587	36
992	4590	32
993	4596	27
994	4599	23
995	4604	18
996	4607	13
997	4613	9
998	4616	4
999	4622	0
